Date Occurred,Victim Sex,Latitude,Longitude,Ethnicity
2011-01-01,M,33.7865,-118.2495,Other/Unknown
2016-03-22,F,34.1076,-118.1929,Hispanic
2017-05-10,F,34.2116,-118.3542,Hispanic
2010-10-28,F,34.2542,-118.4095,Hispanic
2018-11-01,M,34.1568,-118.4138,White
2014-02-10,M,33.9711,-118.2962,Hispanic
2016-08-17,F,33.9833,-118.3089,Black
2015-12-10,M,34.2647,-118.4935,White
2018-11-24,M,34.0944,-118.3277,Hispanic
2010-05-09,M,34.1938,-118.5688,Other/Unknown
2013-07-13,M,34.2519,-118.3456,White
2017-12-09,M,34.1939,-118.5404,Hispanic
2015-12-17,M,34.2012,-118.4487,Hispanic
2016-10-05,M,34.0469,-118.2733,Hispanic
2010-04-15,M,33.9747,-118.2804,Hispanic
2015-12-13,M,34.2357,-118.4938,Hispanic
2019-06-09,M,34.1017,-118.3158,White
2013-11-15,F,34.25,-118.5842,Hispanic
2019-03-27,F,34.0495,-118.2529,Black
2017-01-12,M,34.1722,-118.5011,Other/Unknown
2017-02-09,F,34.2283,-118.4764,Black
2016-09-02,F,33.9709,-118.3079,Black
2011-01-05,M,34.1867,-118.4618,Hispanic
2016-07-01,F,34.04,-118.3016,Hispanic
2011-10-09,M,34.2084,-118.5011,Hispanic
2019-01-29,M,34.0338,-118.4417,Asian
2019-11-13,M,33.9867,-118.4714,White
2013-07-18,M,33.9822,-118.2915,Asian
2018-06-22,M,33.9656,-118.2827,Hispanic
2019-04-02,F,33.9747,-118.2695,White
2019-09-11,F,33.9628,-118.2739,Black
2019-11-07,F,34.2576,-118.5067,White
2011-06-27,F,34.0636,-118.2941,Other/Unknown
2014-07-22,F,34.0549,-118.2426,Hispanic
2011-08-08,F,34.2214,-118.4677,Hispanic
2012-03-06,M,34.0669,-118.3386,White
2019-09-23,X,34.1469,-118.4496,Other/Unknown
2018-01-03,F,33.9311,-118.2463,Black
2016-10-22,M,34.0446,-118.2769,Hispanic
2017-08-08,M,34.0768,-118.2227,Hispanic
2011-04-07,F,34.0474,-118.4635,Hispanic
2013-06-24,F,34.1758,-118.4662,Hispanic
2013-07-23,F,34.1877,-118.4487,Hispanic
2018-10-14,M,34.0762,-118.3206,White
2019-10-29,M,34.1904,-118.4148,Hispanic
2014-11-21,F,34.0452,-118.2041,Hispanic
2019-11-14,M,33.9844,-118.4307,White
2017-01-13,F,34.0058,-118.419,Hispanic
2019-12-02,M,34.0245,-118.2505,Hispanic
2011-09-08,M,33.7974,-118.2651,Hispanic
2015-08-04,M,34.1722,-118.3965,Black
2013-09-03,F,34.0727,-118.2942,Hispanic
2015-05-07,M,34.1867,-118.4181,Hispanic
2011-12-19,F,34.16,-118.3757,Hispanic
2013-02-16,M,34.2265,-118.4373,Hispanic
2010-05-28,F,33.9456,-118.3939,Black
2017-03-12,M,34.0874,-118.2698,Hispanic
2015-09-15,M,34.08,-118.2881,Hispanic
2019-08-13,F,34.145,-118.3703,Hispanic
2015-07-21,F,34.3152,-118.4909,Hispanic
2012-12-26,F,34.2294,-118.4595,Hispanic
2014-07-23,M,34.0278,-118.201,Hispanic
2016-08-15,M,34.1938,-118.6059,Black
2019-04-25,F,34.1664,-118.5883,Hispanic
2017-03-25,M,34.2175,-118.5426,Other/Unknown
2017-04-04,X,34.0617,-118.3066,Other/Unknown
2019-01-05,F,33.9953,-118.2871,Hispanic
2010-06-14,F,34.0442,-118.3586,Other/Unknown
2017-05-23,F,33.9708,-118.2827,Hispanic
2014-10-28,M,33.9934,-118.2739,Hispanic
2010-10-03,F,34.25,-118.5798,White
2019-11-04,M,34.2797,-118.418,Hispanic
2018-01-08,M,34.0908,-118.3266,Hispanic
2015-05-21,M,34.0624,-118.205,White
2017-06-11,M,34.2538,-118.5371,Other/Unknown
2013-11-12,M,34.0578,-118.2891,Asian
2014-09-06,F,34.0668,-118.261,Asian
2012-02-07,M,34.1877,-118.4531,Hispanic
2012-07-30,M,34.2011,-118.5885,White
2012-08-19,M,34.1315,-118.3811,White
2016-04-27,F,34.0173,-118.22,Hispanic
2017-06-14,M,34.0109,-118.2915,Black
2011-07-02,F,34.1486,-118.4349,White
2014-10-25,F,34.1481,-118.3703,Hispanic
2015-04-18,M,34.0279,-118.5188,White
2016-06-03,F,33.9746,-118.3003,Black
2018-05-05,F,34.2603,-118.4337,Hispanic
2011-06-30,M,34.0345,-118.266,Other/Unknown
2010-08-10,F,34.1504,-118.3965,Other/Unknown
2016-06-06,F,34.0836,-118.3765,White
2011-08-26,M,34.0727,-118.284,Hispanic
2014-05-03,F,34.1722,-118.3877,White
2017-08-05,F,34.1497,-118.3694,Asian
2019-10-09,F,33.9602,-118.2564,Hispanic
2014-07-19,M,34.0536,-118.3091,Hispanic
2018-11-01,M,33.9432,-118.309,Hispanic
2012-01-30,M,34.0618,-118.2929,White
2019-02-04,F,34.0283,-118.5195,White
2018-10-26,M,34.2128,-118.445,Other/Unknown
2013-03-24,M,34.1928,-118.5797,Other/Unknown
2012-05-03,F,34.0728,-118.2917,Hispanic
2018-10-08,M,33.9984,-118.4713,White
2010-08-22,F,33.9879,-118.4527,White
2013-04-25,X,34.0183,-118.3556,Other/Unknown
2012-07-04,M,34.2012,-118.4924,Other/Unknown
2012-03-23,M,34.0668,-118.2514,Other/Unknown
2019-11-16,F,34.057,-118.2691,Hispanic
2016-04-25,F,33.7433,-118.2923,Hispanic
2014-08-16,M,34.0928,-118.1818,Hispanic
2015-10-02,M,33.9966,-118.2652,Black
2015-01-20,M,33.9573,-118.3962,White
2019-07-21,F,33.9892,-118.2783,Black
2014-07-22,F,34.0182,-118.3067,Black
2015-11-07,F,34.0436,-118.309,Black
2014-12-06,M,34.0155,-118.2948,Hispanic
2015-04-24,M,33.9747,-118.2695,Hispanic
2017-09-13,M,34.137,-118.4187,Hispanic
2014-03-05,F,34.3075,-118.4432,Hispanic
2015-08-08,M,34.002,-118.2718,Hispanic
2013-04-29,F,34.203,-118.4488,Hispanic
2015-02-26,F,34.0302,-118.2124,Hispanic
2012-03-08,F,34.2501,-118.4817,Hispanic
2018-10-11,F,34.2573,-118.5273,White
2016-04-18,M,34.1866,-118.5622,Other/Unknown
2015-08-14,M,34.1077,-118.4462,White
2017-02-08,F,34.098,-118.3287,Hispanic
2019-07-24,F,34.1577,-118.3703,Black
2012-03-17,M,34.2202,-118.571,Hispanic
2016-07-30,F,34.0256,-118.3156,Black
2015-06-07,M,34.2128,-118.5896,Other/Unknown
2010-03-12,M,34.0711,-118.344,Other/Unknown
2014-05-10,F,34.0387,-118.2519,Asian
2011-09-27,M,33.9523,-118.2476,Black
2010-04-11,F,34.2084,-118.571,Hispanic
2015-01-08,M,34.043,-118.2341,Hispanic
2019-10-26,M,34.0005,-118.4373,Hispanic
2014-03-11,F,34.0375,-118.27,Other/Unknown
2019-12-14,M,34.038,-118.2627,Hispanic
2010-02-09,F,34.2309,-118.3727,Other/Unknown
2013-06-25,F,34.2083,-118.5885,Hispanic
2018-09-10,M,34.1721,-118.4488,White
2019-11-02,F,34.2501,-118.417,Hispanic
2019-01-11,M,34.174,-118.5888,Hispanic
2019-11-19,M,34.2428,-118.2937,Other/Unknown
2011-01-11,F,34.0324,-118.2675,Black
2011-10-04,M,33.9309,-118.3785,White
2018-11-02,M,34.1594,-118.6058,White
2013-05-15,M,34.0441,-118.4675,Hispanic
2017-11-19,F,33.9944,-118.2565,Hispanic
2011-11-28,M,34.0322,-118.2544,Other/Unknown
2018-05-11,M,34.0672,-118.2498,Black
2010-01-05,F,34.0503,-118.3163,Asian
