Date Occurred,Victim Sex,MO Codes,Latitude,Longitude,Ethnicity
2019-05-18,M,3101 3401 3701 3004 3026 3036 3801 3034,34.0395,-118.2527,Hispanic
2016-04-01,M,3101 3401 3701 3004 3801 3036 3030,34.0503,-118.247,Black
2016-01-12,M,3101 3401 3701 3004 3801 3025,34.0646,-118.1969,White
2016-05-08,M,3101 3401 3701 3004 3801 3602 3029 3026 3036,33.9965,-118.2783,Other/Unknown
2016-05-21,F,3101 3401 3701 3004 3602 3801,34.0293,-118.1923,Hispanic
2019-05-24,M,3101 3401 3701 3006 3030 3801,33.9861,-118.2696,Black
2019-05-30,M,3101 3401 3701 3004 3002 3034 3801 3025,34.0522,-118.2019,Hispanic
2019-05-27,F,3101 3401 3701 3011 3801 0910 1501,34.0563,-118.2374,Hispanic
2019-05-26,F,0605 3101 3401 3701 4024 3004 3801 3026 3036,34.0634,-118.263,Hispanic
2019-05-25,F,3101 3401 3701 3006 3801 3602,33.9983,-118.2783,Hispanic
2019-05-27,M,3101 3401 3701 3006 3026 3029 3801,34.0292,-118.2706,Black
2019-05-27,M,3101 3401 3701 3011 3801 3602,34.0622,-118.2607,Hispanic
2018-12-16,M,0605 3101 3401 3701 4024 3004 3026 3801 3036,34.0428,-118.1986,Hispanic
2019-05-25,F,3101 3401 3701 3004 3030 3602 3801,34.0092,-118.2652,Black
2019-06-04,M,3101 3401 3701 4004 3004 3801 0605,34.0173,-118.22,Hispanic
2019-05-11,M,3101 3401 3701 3004 3801,34.0237,-118.23,Hispanic
2019-05-28,M,3101 3701 3006 3030 3032 3801 3401,34.0848,-118.2212,Hispanic
2019-06-11,M,0605 3101 3401 3701 4024 3004 3006 3801 3026 3036,33.9948,-118.2435,Hispanic
2019-06-09,F,0605 3101 3401 3701 4024 3004 3801 3025 3036,34.0819,-118.184,White
2019-06-10,M,3102 3401 3701 4011 3006 3801 0605,34.1095,-118.2958,White
2019-06-08,M,0605 3101 3401 3701 4013 3004 3801,33.9893,-118.2652,Hispanic
2019-06-12,M,0605 1402 3401 3101 3701 4011 3801 3006,34.1301,-118.2188,Hispanic
2019-06-14,M,0605 3101 3401 3701 4001 3004 3801 3602 3006,34.0352,-118.2654,Hispanic
2019-06-11,M,0605 3101 3401 3701 4024 3004 3025 3801 1401,34.0048,-118.2652,Black
2019-06-15,F,0605 3101 3401 3701 4024 3004 3801 3025,34.0571,-118.2422,Black
2019-06-16,M,0605 3401 3701 4024 3034 3011 3801 3101,34.0487,-118.2571,Other/Unknown
2019-06-18,M,3101 3401 3701 3006 3030 3602 3801,34.0039,-118.2726,Hispanic
2019-06-18,F,0605 3101 3401 3701 4024 3011 3034 3801 3025,34.0943,-118.2437,White
2019-06-15,M,0605 3101 3401 3701 4024 3006 3801 3034 3012 3024,34.1374,-118.2941,Hispanic
2019-03-23,M,3101 3401 3701 3004 3026 3801,34.035,-118.2386,Hispanic
2019-06-26,F,0605 3101 3401 3701 4013 3006 3030 3801 3036,34.0216,-118.2564,Black
2019-06-23,M,3101 3401 3701 3004 3801,34.0908,-118.2115,Other/Unknown
2019-06-28,M,3101 3401 3701 3004 3801,34.0747,-118.2686,Hispanic
2019-06-25,F,3101 3401 3701 3004 3025 3801 3036,34.0531,-118.2717,Hispanic
2019-06-27,M,3101 3401 3701 3004 3801,33.9852,-118.2739,Black
2019-06-20,M,0605 3101 3401 3701 4024 3011 3012 3801,34.0588,-118.2369,Other/Unknown
2019-06-18,M,0605 3101 3401 3701 4002 3004 3801 3026 3036,34.0747,-118.2526,Black
2019-06-17,F,0605 3101 3401 3701 4002 3004 3801 3025,34.058,-118.2759,Hispanic
2019-06-22,M,0605 3101 3401 3701 4024 3006 3801,34.0528,-118.1978,Hispanic
2019-06-28,M,3101 3401 3701 3004 3026 3036 3801,34.0407,-118.268,Hispanic
2019-06-27,M,3101 3401 3701 3006 3025 3801,34.1163,-118.2137,Other/Unknown
